Date,commodity,average_price,Arrival,temperature_avg,wind_speed,air_pressure,rainfall_mm,diesel,USD_to_NPR,month
2022-09-13,Tomato_Big,49.263565891472865,2375.0,21.5,6.4,1013.4,0.0,175.0,125.5967025756836,9
2022-09-14,Tomato_Big,49.224806201550386,2500.0,21.4,6.9,1014.2,0.0,175.0,124.82225799560548,9
2022-09-15,Tomato_Big,49.18604651162791,4625.0,21.5,4.7,1012.9,0.0,175.0,125.44140625,9
2022-09-16,Tomato_Big,49.14728682170543,500.0,21.5,7.4,1009.9,0.0,175.0,125.51319122314452,9
2022-09-17,Tomato_Big,49.10852713178295,5400.0,21.3,5.3,1011.8,0.0,175.0,124.58289337158205,9
2022-09-18,Tomato_Big,49.06976744186046,5000.0,22.7,5.7,1013.4,0.0,175.0,124.58289337158205,9
2022-09-19,Tomato_Big,49.031007751937985,5000.0,22.0,6.5,1014.0,0.0,175.0,124.58289337158205,9
2022-09-21,Tomato_Big,48.95348837209302,11250.0,22.9,8.5,1014.1,0.0,175.0,125.7511749267578,9
2022-09-23,Tomato_Big,48.87596899224806,2500.0,22.8,6.7,1013.8,0.0,175.0,127.45417022705078,9
2022-09-24,Tomato_Big,48.83720930232558,4525.0,22.7,5.9,1013.5,0.0,175.0,128.4937286376953,9
2022-09-25,Tomato_Big,48.798449612403104,11500.0,22.1,7.6,1014.7,0.0,175.0,128.4937286376953,9
2022-09-26,Tomato_Big,48.75968992248062,250.0,21.9,5.0,1015.7,0.0,175.0,128.4937286376953,9
2022-09-27,Tomato_Big,48.72093023255814,12000.0,21.8,7.5,1013.9,0.0,175.0,128.6099395751953,9
2022-09-28,Tomato_Big,48.68217054263566,1750.0,22.0,6.8,1013.6,0.0,175.0,128.7893829345703,9
2022-09-29,Tomato_Big,48.64341085271318,3500.0,22.3,7.2,1013.4,0.0,175.0,129.510986328125,9
2022-09-30,Tomato_Big,48.604651162790695,11000.0,22.1,5.9,1013.8,0.0,175.0,129.29820251464844,9
2022-10-02,Tomato_Big,48.52713178294574,5050.0,22.6,5.8,1013.2,0.0,175.0,130.78775024414062,10
2022-10-10,Tomato_Big,48.21705426356589,1125.0,20.4,6.2,1019.6,3.2,175.0,130.78775024414062,10
2022-10-13,Tomato_Big,48.10077519379845,10000.0,20.5,7.1,1018.1,0.2,175.0,129.9246063232422,10
2022-10-14,Tomato_Big,48.06201550387597,8900.0,20.2,6.8,1018.1,2.6,175.0,130.09585571289062,10
2022-10-15,Tomato_Big,48.02325581395349,3750.0,20.3,6.0,1017.7,1.9,175.0,130.10536193847656,10
2022-10-18,Tomato_Big,47.906976744186046,1275.0,17.7,6.2,1018.6,0.1,175.0,130.10536193847656,10
2022-10-19,Tomato_Big,47.86821705426357,625.0,17.4,6.9,1019.0,0.6,175.0,129.89027404785156,10
