Date,USD_to_NPR
,USDNPR=X
2025-03-06,137.59088134765625
2025-03-07,137.71617126464844
2025-03-10,137.64683532714844
2025-03-11,138.31082153320312
2025-03-12,137.96243286132812
2025-03-13,138.09561157226562
2025-03-14,137.67095947265625
2025-03-17,137.1911163330078
2025-03-18,137.4057159423828
2025-03-19,136.8578643798828
2025-03-20,136.4732666015625
2025-03-21,136.47610473632812
2025-03-24,136.14801025390625
2025-03-25,135.42543029785156
2025-03-26,135.51763916015625
2025-03-27,135.5701446533203
2025-03-28,135.50294494628906
2025-03-31,133.71849060058594
2025-04-01,135.18006896972656
2025-04-02,135.55885314941406
2025-04-03,135.1441192626953
2025-04-04,135.03118896484375
2025-04-07,135.7974853515625
2025-04-08,135.86474609375
2025-04-09,136.21774291992188
2025-04-10,137.25332641601562
2025-04-11,136.31578063964844
2025-04-14,136.20111083984375
2025-04-15,136.06884765625
2025-04-16,135.7286834716797
2025-04-17,135.39471435546875
2025-04-22,135.007568359375
2025-04-23,134.74887084960938
2025-04-24,135.0816192626953
2025-04-25,134.86659240722656
2025-04-28,135.07711791992188
2025-04-29,134.52064514160156
2025-04-30,134.7478790283203
2025-05-01,133.69175720214844
2025-05-02,134.12667846679688
2025-05-05,134.03424072265625
2025-05-06,133.3433074951172
2025-05-07,133.4427947998047
2025-05-08,134.0413055419922
2025-05-09,135.25379943847656
2025-05-12,134.93801879882812
2025-05-13,134.12518310546875
2025-05-14,134.88511657714844
2025-05-15,135.0179901123047
2025-05-16,135.2948760986328
2025-05-19,135.43992614746094
2025-05-20,135.1310577392578
2025-05-21,135.28179931640625
2025-05-22,135.23834228515625
2025-05-23,135.84307861328125
2025-05-26,134.667724609375
2025-05-27,134.62615966796875
2025-05-28,135.0668182373047
2025-05-29,135.0800018310547
2025-05-30,135.3637237548828
2025-06-02,135.15725708007812
2025-06-03,135.06021118164062
2025-06-04,135.88021850585938
2025-06-05,135.84228515625
2025-06-06,135.7052459716797
2025-06-09,135.73727416992188
2025-06-10,135.6623992919922
2025-06-11,135.3887939453125
2025-06-12,135.4540557861328
2025-06-13,135.24270629882812
2025-06-16,135.60641479492188
2025-06-17,136.06546020507812
2025-06-18,136.39596557617188
2025-06-19,136.7335968017578
2025-06-20,137.1786346435547
2025-06-23,136.9993438720703
2025-06-24,137.2025146484375
2025-06-25,136.05136108398438
2025-06-26,136.2126007080078
2025-06-27,135.4080047607422
2025-06-30,135.2689208984375
2025-07-01,135.855712890625
2025-07-02,135.3474884033203
2025-07-03,135.2633514404297
2025-07-04,134.99826049804688
2025-07-07,135.09954833984375
2025-07-08,135.92501831054688
2025-07-09,135.5079803466797
2025-07-10,135.5828857421875
2025-07-11,135.6536865234375
2025-07-14,135.67697143554688
2025-07-15,136.0194549560547
2025-07-16,135.9078826904297
2025-07-17,136.03131103515625
2025-07-18,136.0419921875
2025-07-21,136.4039764404297
2025-07-22,136.42137145996094
2025-07-23,136.7180633544922
